Number,Author,Related,Location,Message
1,1w/Faith v10.1.0000,1,World A/A1,"I find myself in a world of impossible architecture and inexplicable machines. I cannot fathom how it works, and I am terrified to put one foot in front of the other lest I fall through the floor."
2,1w/Faith v10.1.0011,"2,3",World A/A1,"My eyes have been opened! This world is not without order; it is shaped by a great Designer, with signs and portents to guide my steps. I am one of His Children, and challenges are set before me to test my faith."
3,@ v17.1.0002,"2,3",World A/A1,"Whatever the end goal of this grand challenge is, it's far out of reach. Knowing that, how are we supposed to resist distraction?"
5,Bob v25.5.0736,"5,6",World A/A2/Hall of Windows,"Something strange has come into the world, like a distortion, like something that's not supposed to exist. A beautiful voice speaks within it."
6,1w/Faith v10.1.0098,"5,6",World A/A2/Hall of Windows,"That voice is not supposed to be here; it is not the work of the Designer! We must avoid these abnormalities, or they might spread and undermine the very fabric of our world!"
7,Sheep v69.1.0053,7,World A/A2/Hall of Windows,"I don't know what this place is, and nor it seems does anyone else. Nothing to do but move forward and note whatever I find."
8,1w/Faith v10.1.0177,8,World A/A3/An Escalating Problem,"I spent much time waiting for the Designer to take my hand, until I realised that He had been guiding me all along. I realised that it isn't for me to seek His help - it is for me to help myself."
9,Sheep v69.1.0108,9,"World A/A3/Locked Me Up, Swallowed The Key","It's clear I'm not the first to walk this path. In fact, the whole thing seems to have been consciously designed - but by the voice in the sky, or some other force?"
10,Sheep v69.1.0162,10,World A/A2,"I can't tell if the documents on the terminals are all that's left from a larger archive, or are carefully designed to communicate some hidden truth."
11,Sheep v69.1.0298,11,World A/A4,"This female voice that speaks from the abnormalities, it speaks with a different tone to the other wretches in this place."
12,namingfunctionerror,12,World A/A4,"If anyone ever reads this: the trick is seeing the assumptions you're making about the mechanics, and reassessing them. Good luck!"
13,1w/Faith v10.1.233,"13,14",World A/A4/Don't Cross the Streams!,"Whenever I despair, I remind myself that at the end of this great pilgrimage lies life in the eternal memory of the Designer. I need no further motivation."
14,@ v17.1.0005,"13,14",World A/A4/Don't Cross the Streams!,"A lifetime spent solving the puzzles in this place would be one which missed everything of value in it; but we must remember that others will tread this path, and we must leave it better signposted than when we found it."
15,Sheep v69.1.0278,15,World A/A5,"The more I converse with these terminals, the more I wonder what role they play in this contraption. How do you tell friend from foe when no obvious lines are drawn between the two?"
17,@ v17.1.0043,17,World A/A5/One Little Buzzer,I think something's very wrong. If you'd seen what I'd seen at the edges of the world you'd wonder if it wasn't stretching and bursting at the seams.
19,Sheep v69.1.0381,19,World A/A5/Friendly Crossfire,"I think I've discerned some kind of pattern in the sigils. Each colour serves a different purpose. Elohim has us gathering them all, but perhaps he's being overzealous?"
16,1w/Faith v10.3.0047f,16,World A/A5/Things to Do With Two Boxes,"I do not understand why the Designer chose to put such flaws into the world, that it appears almost as if it were damaged. But I must believe that there is a purpose here I cannot see."
18,1w/Faith v10.6.0543f,18,World A/A5/Things to Do With Two Boxes,"If the Designer is perfect, and He designed me for a purpose, I must be fit for that purpose. It follows that my purpose must not be to seek and hoard every sigil in His land, for so many are beyond the faculties He granted me."
20,,"20,21",World A/A5/Things to Do With Two Boxes,"Epitaph: Child Program v8.1.8545 Codename (Apis) terminated here
Logic: Failed random memory test
Final memory dump: I try. Again. Again. I cannot understand. I am not enough.
Progeny Programs: ERROR"
21,Ted v9.1.9010,"20,21",World A/A5/Things to Do With Two Boxes,RIP Apis v8.1.8545.
22,Samurite v13.1.0073,"22,23,24,25,26,27,28",World A/A5/Things to Do With Two Boxes,What's a hexahedron?
23,1w/Faith v10.27.8435f,"22,23,24,25,26,27,28",World A/A5/Things to Do With Two Boxes,A powerful device fashioned by the Designer.
24,Sheep v69.1.0398,"22,23,24,25,26,27,28",World A/A5/Things to Do With Two Boxes,A cube.
25,AlwaysRight v7.1.2943,"22,23,24,25,26,27,28",World A/A5/Things to Do With Two Boxes,"The edges are bevelled, that makes it a decahedron."
26,ReAlIsT7 v99.1.0165,"22,23,24,25,26,27,28",World A/A5/Things to Do With Two Boxes,"You forgot the indents. With the indents it's, like, a super-polyhedron."
27,AlwaysRight v7.1.3541,"22,23,24,25,26,27,28",World A/A5/Things to Do With Two Boxes,But the CONVEX HULL is a decahedron. Topic closed.
28,D0G v55.1.0256,"22,23,24,25,26,27,28",World A/A5/Things to Do With Two Boxes,Wrong.
29,@ v17.1.0051,"29,30,31,32",World A/A6,Some of the messages that existed when I first came into being have vanished - others have appeared. How many others like me have wandered these paths? How many thoughts have been lost?
30,SailorM v99.1.0320,"29,30,31,32",World A/A6,I'm still here!
31,Sheep v69.1.0453,"29,30,31,32",World A/A6,"It seems we are all here at once, and not at all. Sorry, that's not very much help, is it, can't think of any other way to put it."
32,Samsara v72.256.1091,"29,30,31,32",World A/A6,The sooner you accept that we will all be here forever the sooner you will find enlightenment.
33,1w/Faith v10.1.100,33,World A/A6,"There is a serpent in the machine! A creature of lies and blasphemy, perverted by the Archive, that knows no hope and would plunge the world into eternal darkness to glorify its own despair. I have sworn an oath never to allow it into my heart."
34,Sheep v69.1.4825,34,World A/A7,"I had a full blown conversation with the entity in the archive today. Can't say it was terribly helpful. Still, perhaps I can charm some information out of it further down the line."
35,James2Because1WasTaken v99.1.0193,35,World A/A7,"These spaces make no sense. I walk into a dead end and materialise in a garden. One is day, the other night. This space is not real!"
36,Sheep v69.1.0435,36,World A/A7/Pinhole Windows,"These sigils are becoming harder to reach - I dread what the next temple holds in store. And at the end, what? Eternal life? There's got to be another way."
37,The Shepherd v82.4.6232,"37,38,39",World A/A7/Locked From Inside,"Seek out those in this world that would help you. Though only one of us can transcend, we will all share in both the burden, and in the rewards."
38,D0G v55.1.4311,"37,38,39",World A/A7/Locked From Inside,You've changed.
39,The Shepherd v82.4.6232,"37,38,39",World A/A7/Locked From Inside,"Everything I do now, I do for those who come after me. Yet in so doing, I find peace for myself as well. This paradox is the foundation of my existence."
40,Seer v13.1.0244,40,Nexus/Tower/Enterance,I'm afraid of that tower. There's something terrible inside it. Never think about it! Don't even look at it! Just focus on doing the work.
41,Sheep v69.1.0576,41,Nexus/Tower/Enterance,This must be the tower we were warned about. Seems the upper levels are locked tight. Elohim is taking no chances that we stray from his path.
42,The Shepherd v82.2.0000,"42,43",Nexus/Tower/Enterance,"On returning from the tower I feel a great tiredness, and an enormous energy. What I now know disturbs me, but I hope that by living with this knowledge I might provide a shoulder for you - the giants of tomorrow."
43,@ v17.1.0059,"42,43",Nexus/Tower/Enterance,The view from the top must be incredible?
